id,year,Title,Authors
9202058,1992,Hamiltonian Reduction and Classical Extended Superconformal Algebras,Katsushi Ito and Jens Ole Madsen
9202059,1992,Axion Couplings and Effective Cut-Offs in Superstring Compactifications,Mary K. Gaillard and T.R. Taylor
9202060,1992,On Sibling and Exceptional W Strings,"H. Lu, C.N. Pope, S. Schrans and X.J. Wang"
9202061,1992,Exceptional Superconformal Algebras,P. Bowcock
9202062,1992,The Plumbing of Minimal Area Metrics,Michael Wolf and Barton Zwiebach
9202063,1992,A Loop Representation for the Quantum Maxwell Field,Abhay Ashtekar and Carlo Rovelli
9202064,1992,Anomalies and Deconfinement,F. A. Schaposnik
9202065,1992,Algebraic Structures and Eigenstates for Integrable Collective Field Theories,Jean Avan and Antal Jevicki
9202066,1992,QCD Instantons and 2D Surfaces,V.G.J. Rodgers
9202067,1992,Stringy Domain Walls and Other Stringy Topological Defects,Mirjam Cvetic
9202068,1992,Properties of Asymptotically Flat Two-Dimensional Black Holes,"R.B. Mann, M.S. Morris and S.F. Ross"
9202069,1992,Quantum Conserved Currents in Affine Toda Theories,"G.W. Delius, M.T. Grisaru and D. Zanon"
9202070,1992,Duality in Quantum Toda theory and W-algebras,H. G. Kausch and G. M. T. Watts
9202071,1992,The reality conditions for the new canonical variables of General Relativity,"Giorgio Immirzi (Universita' di Perugia & INFN Perugia, Italy)"
9202072,1992,W-Infinity and String Theory,X. Shen
9202073,1992,$Z_n$ Baxter Models and Quantum Symmetric Spaces,Peter G. O. Freund and Anton V. Zabrodin
9202074,1992,A Model of Three-Dimensional Lattice Gravity,D. Boulatov
9202075,1992,S-Wave Scattering of Charged Fermions by a Magnetic Black Hole,Mark Alford and Andrew Strominger
9202076,1992,The G_Newton --> 0 Limit of Euclidean Quantum Gravity,Lee Smolin
9202077,1992,Non-Abelian Monopoles Coupled to Gravity,B. S. Balakrishna and Kameshwar C. Wali
9202078,1992,A Possible Black Hole Background in c=1 Matrix Model,Zhu Yang
9202079,1992,Self Duality and Quantization,"Abhay Ashtekar, Carlo Rovelli and Lee Smolin"
9202080,1992,Schwinger-Dyson Equations of Matrix Models for Open and Closed Strings,Yukihisa Itoh and Yoshiaki Tanii
9202081,1992,Matrix model with superconformal symmetry,Michiaki Takama
9202082,1992,The Pokrovski-Talapov Phase Transitions and Quantum Groups,Haye Hinrichsen and Vladimir Rittenberg
9202083,1992,The General Class of String Theories on Orbifolds,Makoto Sakamoto and Masayoshi Tabuse
9202084,1992,Cocycle Properties of String Theories on Orbifolds,"Tsutomu Horiguchi, Makoto Sakamoto and Masayoshi Tabuse"
9202085,1992,Critical Theories of the Dissipative Hofstadter Model,"C. Callan, A. Felce, and D. Freed"
9202086,1992,"Area-Preserving Diffeomorphisms, w_\infty Algebras and w_\infty Gravity",E. Sezgin
9202087,1992,Picture Changing Operators in Closed Fermionic String Field Theory,R. Saroja and A. Sen
9202089,1992,Correlation Functions in non critical (super) string theory,"E. Abdalla, M.C.B. Abdalla, D. Dalmazi, K. Harada"
9202090,1992,From wormhole to time machine: Comments on Hawking's Chronology Protection Conjecture,By Matt Visser
9202092,1992,"Strings on Curved Spacetimes: Black Holes, Torsion, and Duality",Paul Ginsparg and Fernando Quevedo
9203001,1992,Topological Phases of the Heterotic String,Jack Morse & Rolf Schimmrigk
9203002,1992,Disk Amplitudes in Two-Dimensional Open String Theories,Yoshiaki Tanii and Shun-ichi Yamaguchi
9203003,1992,The Sub-leading Magnetic Deformation of the Tricritical Ising Model in 2D as RSOS Restriction of the Izergin-Korepin Model,"F. Colomo, A. Koubek, G. Mussardo"
9203004,1992,Can fusion coefficients be calculated from the depth rule ?,"A.N. Kirillov, P. Mathieu, D. Senechal and M. Walton"
9203005,1992,Unitary One Matrix Models: String Equations and Flows,K.N. Anagnostopoulos and M. J. Bowick
9203006,1992,Mtric from Non-Metric Action of Gravity,"Kiyoshi Kamimura, Sinobu Makita and Takeshi Fukuyama"
9203007,1992,No-Boundary Theta-Sectors in Spatially Flat Quantum Cosmology,Domenico Giulini and Jorma Louko
9203008,1992,Gauge Symmetries of the N=2 String,Amit Giveon and Alfred Shapere
9203009,1992,Higher Genus Correlators from the Hermitian One-Matrix Model,"J. Ambjorn, L. Chekhov and Yu. Makeenko"
9203010,1992,On The Interpolating Solutions of Strings in Different Backgrounds,Sudipta Mukherji
9203011,1992,Fusion Rules and R-Matrices For Representations of $SL(2)_q$ at Roots of Unity,Daniel Arnaudon
9203012,1992,Measuring the $W$-hair of String Black Holes,"John Ellis, N.E. Mavromatos and D.V. Nanopoulos"
9203013,1992,Is the $O(3)~\sigma$ Model with the Hopf Term Exactly Equivalent to a Higher Spin Theory?,"T.R.Govindarajan, R.Shankar, N.Shaji and M.Sivakumar"
9203014,1992,Brst Cohomology and Invariants of 4D Gravity in Ashtekar Variables,Lay Nam Chang and Chopin Soo
9203015,1992,Chiral Current Algebras in Three--Dimensional Bf--Theory with Boundary,Nicola Maggiore and Paolo Provero
9203016,1992,Nonlocal Yang-Mills,Gary Kleppe and R. P. Woodard
9203017,1992,Current algebras and light-cone quantization in 3+1 dimensions,Jouko Mickelsson
9203018,1992,"Supersymmetric, cold and lukewarm black holes in cosmological Einstein-Maxwell theory",L. J. Romans
9203019,1992,The Weingarten Model a la Polyakov,S.Dalley
9203020,1992,The Extension Structure of 2D Massive Current Algebras,J. Laartz
9203021,1992,Covariant Currents in N=2 Super-Liouville Theory,Joaquim Gomis and Hiroshi Suzuki
9203022,1992,Stable Non--Perturbative Minimal Models Coupled to 2D Quantum Gravity,"Clifford Johnson, Tim Morris and Bill Spence"
9203023,1992,Semilocal strings and monopoles,"G.W. Gibbons, M.E. Ortiz, F. Ruiz Ruiz and T.M. Samols"
9203024,1992,New Realisations of W Algebras and W Strings,"H. Lu, C.N. Pope, S. Schrans and X.J. Wang"
9203025,1992,The Search for a realistic flipped SU(5) string model,"J. Lopez, D. Nanopoulos, and K. Yuan"
9203026,1992,The Mathai-Quillen Formalism and Topological Field Theory,M. Blau
9203027,1992,Altering the Symmetry of Wavefunctions in Quantum Algebras and Supersymmetry,C.K. Zachos
9203028,1992,A note on the Zakharov-Shabat topological model,Andrea Pasquinucci
9203029,1992,Canonical Quantization of $(2+1)$ Dimensional Qed with Topological Mass Term,Kurt Haller and Edwin Lombridas
9203030,1992,Multicritical Phases of the O(n) Model on a Random Lattice,Ivan K. Kostov and Matthias Staudacher
9203031,1992,Two Dimensional Stringy Black Holes with One Asymptotically Flat Domain,Petr Horava
9203032,1992,Relating Scattering Amplitudes in Bosonic and Topological String Theories,Roger Brooks
9203033,1992,Cosmological solutions with dilaton and maximally symmetric space in string theory,A.A. Tseytlin
9203034,1992,Volume-preserving diffeomorphisms in integrable deformations of selfdual gravity,Kanehisa Takasaki
9203035,1992,New Integrable Deformations of Higher Spin Heisenberg-Ising Chains,"C. Gomez, G. Sierra"
9203036,1992,On the quantization of the N=2 supersymmetric non linear sigma model,"G.Aldazabal, J.M.Maldacena"
9203037,1992,R-matrices for the semicyclic representations of U_q sl^(2),I. T. Ivanov and D. B. Uglov (SUNY Stony Brook)
9203038,1992,Nonlocal regularisation and two-dimensional induced actions,"F. De Jonghe, R. Siebelink and W. Troost"
9203039,1992,Black Holes from Non-Abelian Toda Theories,Jean-Loup Gervais and Mikhail V. Saveliev
9203040,1992,How the Jones Polynomial Gives Rise to Physical States of Quantum General Relativity,"Bernd Bruegmann, Rodolfo Gambini, Jorge Pullin"
9203041,1992,Extremal variety as the foundation of a cosmological quantum theory,Julian Barbour and Lee Smolin
9203042,1992,Quantum Black Holes,"B. Birnir, S.B. Giddings, J.A. Harvey, and A. Strominger"
9203043,1992,Generalized Kontsevich Model Versus Toda Hierarchy and Discrete Matrix Models,"S.Kharchev, A.Marshakov, A.Mironov, A.Morozov"
9203044,1992,$c = r_g$ Theories of $W_G$-Gravity: The Set of Observables as a Model of Simply Laced $G$,"A.Marshakov, A.Mironov, A.Morozov, M.Olshanetsky"
9203045,1992,Results of the classification of superconformal algebras in two dimensions,E.S. Fradkin and V.Ya Linetsky
9203046,1992,Quantum symmetries in discrete gauge theories,"F.Alexander Bais, Peter van Driel and Mark de Wild Propitius"
9203047,1992,Anyons in discrete gauge theories with Chern-Simons terms,"F.Alexander Bais, Peter van Driel and Mark de Wild Propitius"
9203048,1992,Quantum Galilei Group as Symmetry of Magnons,"F.Bonechi, E.Celeghini, R.Giachetti, E.Sorace and M.Tarlini"
9203049,1992,Path-Integral Measure of Linearized Gravity in Curved Spacetime,Hiroki Fukutaka
9203050,1992,The Causal Structure of Two-Dimensional Spacetimes,Dan Christensen and Robert B. Mann
9203051,1992,A twistor-like D=10 superparticle action with manifest N=8 world-line supersymmetry,A.Galperin and E.Sokatchev
9203052,1992,Evaporation of Two Dimensional Black Holes,S. W. Hawking
9203053,1992,Combinatorial and topological phase structure of non-perturbative n-dimensional quantum gravity,"M.Carfora, M.Martellini and A.Marzuoli"
9203054,1992,Hawking Radiation and Back-Reaction,L. Susskind and L. Thorlacius
9203055,1992,Interacting Euclidean 3D Quantum Gravity,"G.Bonacina, A.Gamba and M.Martellini"
9203056,1992,Gauge Invariant Formulations of Lineal Gravity,Daniel Cangemi and Roman Jackiw
9203057,1992,Dirty blackholes: Thermodynamics and horizon structure,Matt Visser
9203058,1992,World-Sheet Supersymmetry Without Contact Terms,"J. Distler, M. Doyle"
9203059,1992,Black Holes and Massive Remnants,S.B. Giddings
9203060,1992,Classical Scattering in $1+1$ Dimensional String Theory,G. Moore and R. Plesser
9203061,1992,Gravitational Phase Transitions and the Sine-Gordon Model,Gregory Moore
9203062,1992,A note on the KP hierarchy,Didier A Depireux
9203063,1992,"The Spectrum of Sl(2, R)/U(1) Black Hole Conformal Field Theory",Dileep P. Jatkar
9203064,1992,New Approach to Thermal Bethe Ansatz,C. Destri and H.J. de Vega
9203065,1992,Bethe Ansatz and Quantum Groups: The Light--Cone Approach. II. From RSOS($p+1$) models to $p-$restricted Sine--Gordon Field Theories,C. Destri and H.J. de Vega
9203066,1992,Massive Orbifold,S. Cecotti and C. Vafa
9203067,1992,"Applications of W-algebras to BF theories, QCD and 4D Gravity",Ralph Lano and V.G.J. Rodgers
9203068,1992,$W_\infty$ and Anomalies of Self-Dual Einstein Theories,V.G.J. Rodgers
9203069,1992,"S and T matrices for the super $U(1,1)$ WZW model. Application to surgery and 3-manifold invariants based on the Alexander Conway polynomial","Lev Rozansky, Herbert Saleur"
9203070,1992,"Finiteness and anomalies in (4,0) supersymmetric sigma models",P.S. Howe and G. Papadopoulos
9203071,1992,Moduli Corrections to Gravitational Couplings from String loops,"I. Antoniadis, E. Gava and K. S. Narain"
9203072,1992,Midisuperspace-Induced Corrections to the Wheeler De Witt Equation,Francisco D. Mazzitelli
9203073,1992,Quantum Group Analysis of the Bound States in the Strong Coupling Regime of the Modified Sine-Gordon Model,Sergei V. Pokrovsky
9203074,1992,A cubic action for self-dual Yang-Mills,Andrew Parkes
9203075,1992,Current Algebra of WZNW Models at and away from Criticality,"E. Abdalla, M. Forger"
9203076,1992,Quantizing SL(N) Solitons and the Hecke Alegbra,T.J. Hollowood
9203077,1992,Finite W-algebras,T.Tjin
9203078,1992,Extended Supersymmetry and Self-Duality in 2+2 Dimensions,"S.J. Gates, Jr, H. Nishino and S.V. Ketov"
9203079,1992,Weaving a classical geometry with quantum threads,"Abhay Ashtekar, Carlo Rovelli and Lee Smolin"
9203080,1992,Supersymmetric Self-Dual Yang-Mills and Supergravity as Background of Green-Schwarz Superstring,"H. Nishino, S.J. Gates, Jr, and S.V. Ketov"
9203081,1992,Majorana-Weyl Spinors and Self-Duality Gauge Fields in 2+2 Dimensions,"S.V. Ketov, S.J. Gates, Jr. and H. Nishino"
9203082,1992,Eikonal Quantum Gravity and Planckian Scattering,Dan Kabat and Miguel Ortiz
9203083,1992,Rotating Dilaton Black Holes,James H. Horne and Gary T. Horowitz
9203084,1992,Periods and Duality Symmetries in Calabi-Yau Compactifications,Anamaria Font
9204001,1992,Axionic Membranes,A.Aurilia and E.Spallucci
9204002,1992,Classical and Quantum Considerations of Two-dimensional Gravity,T. T. Burwick and A. H. Chamseddine
9204003,1992,Physics beyond quasi-particles: Spectrum and completeness of the 3 state superintegrable chiral Potts model,"Srinandan Dasmahapatra, Rinat Kedem and Barry McCoy"
9204004,1992,Conformal Symmetry and Differential Regularization of the Three-Gluon Vertex,"Daniel Z. Freedman, Gianluca Grignani, Nuria Rius and Kenneth Johnson"
9204006,1992,Noncompact Coset Spaces in String Theory,Fernando Quevedo
9204007,1992,Anomalous Transformation in Supersymmetric Yang-Mills Theory,H.Itoyama and B.Razzaghe-Ashrafi
9204008,1992,Self-Dual Chern-Simons Solitons with Non-Compact Groups,Daniel Cangemi
9204009,1992,2+1 Dimensional Quantum Gravity as a Gaussian Fermionic System and the 3D-Ising Model,"Giuseppe Bonacina, Maurizio Martellini and Mario Rasetti"
9204010,1992,Berry's Phase and Euclidean Path Integral,"Taro Kashiwa, Shuji Nima and Seiji Sakoda"
9204011,1992,Target Space Structure of a Chiral Gauged Wess-Zumino-Witten Model,Supriya K. Kar and Alok Kumar
9204012,1992,Supersymmetry Breaking and Determination of the Unification Gauge Coupling Constant in String Theories,"B. de Carlos, J.A. Casas and C. Mu\~noz"
